,Are you 18 or over? ,"Do you live in Cache County, Utah? ",In what city do you live?,How familiar are you with the total quantity of water your / household uses each month? ,Do you have an outdoor lawn on the property where you live?,How is your lawn watered? --A hand-held hose,How is your lawn watered? --Sprinklers attached to a hose,How is your lawn watered? --An underground sprinkler system,How is your lawn watered? --Flood irrigation,How is your lawn watered? --(explain):,How is your lawn watered? --Other (explain):-TEXT,"For each of the following statements, indicate whether you disagree / or agree:--There is enough water to meet the CURRENT needs of all the people and businesses in my city","For each of the following statements, indicate whether you disagree / or agree:--There is enough water to meet the FUTURE needs of all the people and businesses in my city",How would you rate the water quality / of the following types of water?--My current drinking water supply,How would you rate the water quality / of the following types of water?--Groundwater beneath my city,How would you rate the water quality / of the following types of water?--Water in nearby mountain rivers and lakes,How would you rate the water quality / of the following types of water?--Water in streams or rivers downstream from my city,"Thinking about the next 10 years / in this valley, how concerned are you about each of the / followin...--Water shortages","Thinking about the next 10 years / in this valley, how concerned are you about each of the / followin...--Flooding","Thinking about the next 10 years / in this valley, how concerned are you about each of the / followin...--Poor water quality","Thinking about the next 10 years / in this valley, how concerned are you about each of the / followin...--High cost of water","Thinking about the next 10 years / in this valley, how concerned are you about each of the / followin...--Deteriorating water infrastructure","Thinking about the next 10 years / in this valley, how concerned are you about each of the / followin...--Air pollution","Thinking about the next 10 years / in this valley, how concerned are you about each of the / followin...--Traffic congestion","Thinking about the next 10 years / in this valley, how concerned are you about each of the / followin...--Loss of open space","Thinking about the next 10 years / in this valley, how concerned are you about each of the / followin...--Population growth","Thinking about the next 10 years / in this valley, how concerned are you about each of the / followin...--Climate change",How often do you / participate in any of the following water-related activities in / Utah?--Gardening,How often do you / participate in any of the following water-related activities in / Utah?--Walking or hiking near water,How often do you / participate in any of the following water-related activities in / Utah?--Boating,How often do you / participate in any of the following water-related activities in / Utah?--Hunting or fishing,"How often do you / participate in any of the following water-related activities in / Utah?--Snow sports (skiing, snowmobiling)",Are you originally from Utah?,Are you originally from this valley?,Do any of your relatives currently farm?,Are you female or male?,How old were you at your last birthday?,What is the highest level of school you have completed?,Site
USABLE?,Q1a,Q1b,Q1c,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5_1,Q5_2,Q6_1,Q6_2,Q6_3,Q6_4,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q15,Q10,Q11,Q12,Q13,Q14,Site
1,1,1,8,2,1,,,1,,,,3,2,3,5,6,6,4,4,4,2,1,4,4,2,1,2,3,4,1,1,1,1,1,2,1,2,3,1
1,1,1,8,1,1,,1,1,,,,4,4,5,5,5,5,1,3,1,3,3,4,4,3,3,1,4,4,4,4,4,1,1,1,2,1,4,1
1,1,1,9,3,1,,1,,,,,2,2,2,2,3,3,3,2,3,3,3,3,3,3,2,1,3,2,2,2,1,2,2,2,1,5,4,4
1,1,1,9,3,1,,,1,,,,3,2,3,3,3,3,5,3,4,3,3,4,4,4,4,4,4,3,1,3,2,1,2,1,1,3,5,4
1,1,1,9,3,1,,1,,,,,4,2,5,6,5,6,4,2,4,4,4,5,5,5,5,5,4,4,2,,1,1,2,2,2,4,2,4
1,1,1,9,3,1,,,1,,,,4,4,5,5,4,4,3,3,1,1,2,3,3,1,1,1,3,3,1,1,1,2,2,2,1,1,4,4
1,1,1,9,1,1,,,1,,,,2,2,5,5,5,5,2,4,1,1,2,1,3,1,1,1,4,4,1,1,1,2,2,2,,3,5,3
1,1,1,9,5,1,,,,,1,Hand held and sprinkler system underground,5,3,3,2,5,6,3,3,1,5,5,5,1,5,5,1,4,1,1,1,1,2,2,2,1,5,3,3
1,1,1,9,2,1,,1,,,,,3,2,5,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,1,1,1,2,2,2,2,4,4,3
1,1,1,9,3,1,,,1,,,,3,3,4,6,4,6,4,4,3,4,4,5,5,4,3,3,1,3,1,1,2,1,1,2,1,3,3,3
1,1,1,9,4,1,,,1,,,,2,3,5,5,5,2,5,2,5,5,5,4,5,3,5,4,4,3,1,3,3,1,2,1,1,5,4,3
1,1,1,9,1,1,,,1,,,,2,1,5,5,5,5,5,1,1,1,5,2,4,2,3,2,1,4,1,3,2,2,2,1,1,2,5,3
1,1,1,9,3,1,,,1,,,,2,1,4,6,2,6,3,1,3,5,2,5,3,4,4,2,4,2,2,1,3,2,2,2,1,5,3,2
1,1,1,9,1,1,,1,,,,,2,2,5,2,4,4,4,1,2,5,4,5,5,5,5,5,4,4,3,1,1,2,2,2,1,4,3,1
1,1,1,9,4,2,,,,,,,2,1,4,3,2,2,5,3,5,4,5,5,5,5,5,5,4,4,1,4,4,1,1,1,2,2,4,1
1,1,1,9,5,1,,,1,,,,4,5,4,5,4,3,3,4,3,3,3,4,4,4,4,4,4,4,1,3,2,1,1,1,2,2,3,1
1,1,1,9,4,1,,1,1,,,,4,5,5,5,5,5,1,1,1,5,3,1,1,1,1,1,4,4,1,1,1,2,2,1,2,3,3,1
1,1,1,10,1,1,,,1,,,,5,5,5,5,5,5,5,1,1,1,3,5,5,5,4,1,4,1,1,1,1,2,2,1,2,5,3,4
1,1,1,10,2,1,,1,,,,,5,3,5,6,5,6,4,3,3,4,3,5,4,4,3,3,4,4,2,3,3,2,2,2,1,1,4,3
1,1,1,10,3,1,,1,,,,,5,4,5,5,5,4,3,1,2,3,3,4,4,2,3,1,3,3,2,4,3,2,2,2,2,3,4,3
1,1,1,11,2,1,,1,,,,,2,2,3,3,3,3,3,2,3,3,2,5,5,5,5,5,3,4,2,1,3,1,1,2,1,4,4,4
1,1,1,11,4,1,,1,,,,,3,1,5,6,6,6,4,3,5,5,5,5,5,5,4,5,3,3,2,1,3,1,1,1,1,1,3,3
1,1,1,11,5,1,,1,,,,,5,1,3,5,5,6,4,2,4,5,1,1,1,4,5,1,4,1,1,3,1,1,1,1,2,5,2,3
1,1,1,11,1,1,,,1,,,,1,1,3,3,3,3,1,3,1,3,3,5,5,5,5,3,3,4,1,4,1,2,2,2,1,5,2,1
1,1,1,11,2,1,,,1,,,,3,3,5,5,5,5,3,4,3,4,3,2,3,3,3,1,3,4,3,3,4,1,2,2,2,3,3,1
1,1,1,11,1,1,,1,,,,,3,2,4,6,6,6,3,4,2,3,2,1,1,1,2,2,3,2,1,1,1,1,1,2,1,2,3,1
1,1,1,11,5,1,,1,,,,,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,1
1,1,1,11,5,1,,1,,,,,5,5,5,3,5,5,1,1,1,5,1,5,1,5,5,1,4,4,1,2,1,2,2,2,2,5,4,1
1,1,1,12,2,1,,,1,,,,4,2,5,4,4,4,4,3,3,4,3,3,3,4,3,3,3,3,3,3,2,1,1,1,1,2,3,4
1,1,1,12,3,1,1,1,,,1,Don't water much,1,1,1,2,2,2,5,5,5,5,5,5,5,5,5,5,3,3,3,1,4,1,2,2,1,3,5,4
1,1,1,12,2,1,,,,,1,Sprinklers attached to hose and flood irrigation,2,2,5,4,4,1,4,2,3,3,4,4,4,4,4,3,4,3,2,2,2,2,2,1,1,4,5,3
1,1,1,12,5,1,,,1,,,,3,2,5,3,4,6,5,3,5,5,5,4,4,5,5,5,4,4,2,2,1,2,2,2,1,4,4,1
1,1,1,12,4,1,,1,1,,,,2,2,4,6,5,4,3,4,3,3,3,3,2,4,4,3,4,3,1,2,3,1,1,2,1,3,5,1
1,1,1,13,3,1,1,,,,,,4,3,5,5,5,5,4,4,1,3,4,5,4,5,3,1,4,4,2,3,1,1,2,1,2,3,4,2
1,1,1,13,2,1,1,1,,,,,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,1,1,2,1,3,1
1,1,1,14,2,1,,,1,,,,3,2,5,5,4,3,5,2,1,5,3,4,5,5,5,4,2,3,2,4,2,1,1,1,1,1,3,4
1,1,1,14,5,1,,1,,,,,3,1,5,3,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,1,2,2,2,3,3,3
1,1,1,15,5,,,1,,,,,2,2,4,6,2,3,5,2,4,1,3,5,4,4,4,5,4,4,1,3,3,2,2,2,2,4,5,4
1,1,1,18,4,1,,1,,,,,4,3,5,4,4,4,3,3,3,5,4,3,2,3,3,1,4,4,2,2,3,2,2,1,1,4,3,4
1,1,1,20,3,1,,1,,,,,4,5,5,6,4,4,5,3,3,4,4,3,4,5,3,1,4,3,1,1,1,1,1,1,1,4,3,4
1,1,1,20,1,1,,1,,,,,4,4,5,5,5,5,3,3,1,1,2,4,3,4,3,1,4,3,2,3,2,1,1,1,1,2,4,3
1,1,1,20,5,1,,,1,,,,4,2,5,5,6,4,5,1,3,5,4,2,3,2,2,3,4,2,1,1,1,1,1,1,1,5,3,2
1,1,1,20,5,1,,,1,,,,1,1,5,3,3,3,4,5,4,1,3,2,3,2,1,1,4,4,4,4,4,2,2,1,1,5,5,1
1,1,1,20,2,1,,1,,,,,4,3,5,5,4,4,3,3,2,1,3,5,5,4,4,3,3,3,2,2,2,1,1,2,1,3,3,1
1,1,1,99,4,1,,1,1,,,,4,1,5,2,5,1,4,4,4,3,3,5,5,5,5,5,4,4,1,4,1,2,2,2,2,5,5,4
1,1,1,1,1,,,,1,,,,3,3,4,6,4,4,4,4,5,5,5,4,4,4,4,3,2,4,1,1,1,2,2,2,2,5,4,4
1,1,1,1,4,2,,,,,,,5,5,5,6,6,6,1,3,1,1,2,4,4,1,1,1,2,2,2,1,1,2,2,1,2,2,4,2
1,1,1,3,1,1,,,1,,,,1,3,5,5,4,5,5,4,4,5,3,3,5,1,4,1,4,4,1,1,1,2,2,1,1,5,4,2
1,1,1,9,1,1,,,1,,,,3,1,1,2,2,3,4,2,5,4,4,1,5,5,5,1,2,1,1,3,1,1,1,2,2,5,2,1
1,1,9,99,2,1,,,1,,,,1,1,3,2,2,2,5,3,3,1,3,1,5,5,5,1,4,1,2,2,1,1,1,1,1,5,2,3
1,1,1,4,1,,,,1,,,,4,,5,,,,,,,,,,,,,,,3,3,,,1,1,1,2,5,5,2
1,1,1,6,5,2,,,,,,,1,1,5,6,3,3,1,4,1,4,3,3,3,3,3,4,4,3,2,2,3,2,2,2,1,4,3,3
